# Q-Eta=0.005; Q-Eta=0.025; Q-Eta=0.05; Q-Eta=0.1; Q-Eta=0.2 [calculated 2025-02-27T17:20:04.844]
0; 0; 0; -1; 1
0; 0; 0; -1; 1
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 2; 1
0; 0; 0; -2; 0
0; 0; -1; 1; 0
0; 0; 1; 1; -1
0; 0; 0; -3; 0
0; 0; 0; 1; -3
0; 0; 0; 1; 1
0; 0; 0; 0; -2
0; 0; 0; -1; 0
0; 0; 0; 1; -1
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; 0; -1; 1
0; 0; 0; 2; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; 2; 0
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; 0; 0; -2
0; 0; -1; 1; -1
0; 0; 1; 2; 0
0; 0; 0; 0; 0
0; 0; 0; 0; -2
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; -1; 2
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 1
0; 0; 0; 2; 0
0; 0; 0; 1; 0
0; 0; 0; 0; -2
0; 0; 0; 1; 0
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; -1; -1
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; -1; 3
0; 0; 0; 0; -2
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; -2
0; 0; 0; -2; -1
0; 0; 0; 0; -1
0; 0; -1; 1; 1
0; 0; 0; 0; -2
0; 0; 0; -2; -1
0; 0; -1; -2; 1
0; 0; -1; 2; 0
0; 0; 0; -1; 1
0; 0; 0; -1; 0
0; 0; 0; 1; -2
0; 0; 0; 1; 1
0; 0; 0; -1; 0
0; 0; -1; 1; -2
0; 0; 0; 0; 0
0; 0; 0; -2; 0
0; 0; 0; 0; 1
0; 0; 0; 3; -1
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 0; -3
0; 0; 0; 1; 0
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; -1; -1
0; 0; -1; 0; 0
0; 0; 0; 2; 0
0; 0; 0; 2; 0
0; 0; 0; 2; 2
0; 0; 0; 0; -1
0; 0; 0; -1; 1
0; 0; 0; -1; 0
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; 0; 2
0; 0; 0; 2; 0
0; 0; 0; 0; 1
0; 0; 0; -2; -2
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 3
0; 0; 0; 0; -2
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 2
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; 0; -1; 0
0; 0; 0; -2; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 2; 1
0; 0; 1; -2; 2
0; 0; 0; -1; 2
0; 0; -1; 0; -2
0; 0; 0; 1; 0
0; 0; 0; 1; 2
0; 0; 0; 0; 1
0; 0; -1; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 1; -1
0; 0; 0; 0; -1
0; 0; 0; 1; 0
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; -2; -1
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; 0; -1
0; 0; 0; -2; 2
0; 0; 1; 1; -1
0; 0; 0; 0; -1
0; 0; 0; 2; 0
0; 0; 0; 3; 0
0; 0; 0; 0; 2
0; 0; -1; 1; 0
0; 0; 0; -1; 1
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 2
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; 0; 0; -2
0; 0; 0; 2; 0
0; 0; 0; 0; -1
0; 0; 0; 1; -2
0; 0; 1; -1; 0
0; 0; 0; -1; -1
0; 0; 0; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 1; -1
0; 0; 1; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 2
0; 0; 0; 0; 1
0; 0; 0; 1; -2
0; 0; 0; -1; 0
0; 0; 0; -1; -1
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; -2; -2
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 2; 3
0; 0; 0; -1; 0
0; 0; 0; 0; -1
0; 0; 0; 0; -2
0; 0; 0; -1; 0
0; 0; 0; 1; 0
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; 1; -1
0; 0; 0; -1; 2
0; 0; 0; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 1; -1
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; -1; 1
0; 0; 0; -2; 2
0; 0; -1; 1; -1
0; 0; 0; 0; 1
0; 0; 0; 1; 1
0; 0; 0; -1; 1
0; 0; 0; -1; -2
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 1; 1; 0
0; 0; -1; 2; -1
0; 0; 0; 2; 0
0; 0; -2; 3; -1
0; 0; 0; -1; 1
0; 0; 0; 0; 1
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; -1; -2
0; 0; 0; 0; 1
0; 0; 0; -1; -2
0; 0; 0; -2; -2
0; 0; 0; 2; 1
0; 0; 1; 0; 1
0; 0; -1; 0; -1
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; 0; 0; 0
0; 0; 1; 2; 1
0; 0; 0; -1; -2
0; 0; 0; -1; 0
0; 0; 0; -2; 0
0; 0; 0; 0; 0
0; 0; 0; 0; -2
0; 0; 0; 2; 0
0; 0; 0; 0; -1
0; 0; 0; 1; -1
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; -2; 1
0; 0; 0; 0; 1
0; 0; 0; 1; -2
0; 0; 0; -1; 0
0; 0; 0; 1; 2
0; 0; 0; 0; 1
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 1; 1; -1
0; 0; 0; -1; 0
0; 0; 1; 0; 0
0; 0; 1; 0; -2
0; 0; 0; 1; 1
0; 0; 0; 1; -2
0; 0; 0; -1; 3
0; 0; 0; 0; -2
0; 0; 0; 1; 0
0; 0; 0; 1; -1
0; 0; 1; -1; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; -1; -2; 1
0; 0; 0; 0; 1
0; 0; 0; -1; 2
0; 0; 0; -1; 1
0; 0; 0; 2; 1
0; 0; 1; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 1; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 1; -2; 0
0; 0; 0; 0; 0
0; 0; -1; 2; -2
0; 0; 1; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; -1; -2; 0
0; 0; 0; 2; -1
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 2
0; 0; 0; 0; 1
0; 0; 0; 1; 2
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 1; 1
0; 0; -1; 0; -3
0; 0; 0; -1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 2
0; 0; 0; 0; -1
0; 0; 0; -1; 0
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 1
0; 0; 0; 1; 1
0; 0; 0; 0; 3
0; 0; 0; 1; 2
0; 0; 0; -2; 0
0; 0; 0; -1; 1
0; 0; 0; -1; 2
0; 0; 0; 2; -2
0; 0; 0; 1; -2
0; 0; 0; -2; 1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 2; 1; 0
0; 0; 0; 1; -2
0; 0; 0; -1; -3
0; 0; 0; -2; 1
0; 0; 0; -2; -1
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 1; 1; 1
0; 0; 0; 1; 0
0; 0; 0; 1; -1
0; 0; 0; 0; -1
0; 0; 0; -1; 1
0; 0; 0; -1; -1
0; 0; 0; 0; 2
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; 0; -2
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; -1; 0; 2
0; 0; 0; -1; 0
0; 0; 1; -1; 1
0; 0; 0; 2; -1
0; 0; 0; 1; -2
0; 0; -1; 1; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 1; -1
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; -1; 1; 2
0; 1; 0; -1; -2
0; 0; 1; 0; 2
0; 0; 0; 2; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; 1; 2
0; 0; 0; 0; -1
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 2
0; 0; 0; 0; -2
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 1; -1
0; 0; 0; -1; -1
0; 0; 0; -1; 1
0; 0; 0; 1; 1
0; 0; 0; -1; 2
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; 0; 1; 1
0; 0; 0; 1; -1
0; 0; 0; 1; -2
0; 0; 0; 1; 0
0; 0; 0; 0; 2
0; 0; 0; -2; 1
0; 0; 0; -1; 0
0; 0; 0; 1; -3
0; 0; 0; 0; 2
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; -1; -2
0; 0; 1; 2; -1
0; 0; 0; 0; -1
0; 0; 0; 3; 2
0; 0; 0; 0; 1
0; 0; 0; -1; 2
0; 0; 0; 0; -1
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; -1
0; 0; 0; 1; -1
0; 0; 0; -1; -2
0; 0; 0; 0; -1
0; 0; -1; 1; -1
0; 0; 0; -1; 0
0; 0; 0; 0; -1
0; 0; 0; -1; -2
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; 1; 1
0; 0; -1; 1; 0
0; 0; 0; 0; 0
0; 0; 0; 0; -3
0; 0; 0; 0; 2
0; 0; 0; 0; -1
0; 0; 0; -2; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 2
0; 0; 0; 0; 1
0; 0; 0; 1; 1
0; 0; 0; 1; 1
0; 0; 0; -1; 2
0; 0; 0; 0; -1
0; 0; 0; 1; -1
0; 0; 0; 1; -2
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 1; 1
0; 0; 0; 2; -2
0; 0; 0; 0; -1
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; 1; -3
0; 0; 0; 0; -2
0; 0; 0; -1; -2
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; -1; 2; -1
0; 0; 0; 0; 1
0; 0; 0; 0; -2
0; 0; 0; -1; 1
0; 0; 0; 2; 1
0; 0; 0; 2; 1
0; 0; 0; 1; -1
0; 0; 0; -1; 0
0; 0; 0; 1; -1
0; 0; 0; -1; -1
0; 0; 0; 1; -1
0; 0; 0; 0; -2
0; 0; 0; 1; -1
0; 0; 0; 1; 0
0; 0; 0; 1; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; -2; 0
0; 0; 0; 1; -1
0; 0; 0; -2; 2
0; 0; 0; 1; 0
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; -1; -3
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; -1; -1
0; 0; 0; 1; 0
0; 0; 0; -1; -1
0; 0; -1; -1; 1
0; 0; 0; -1; -2
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; 0; -1; 0
0; 0; 1; 0; -1
0; 0; 0; -1; 0
0; 0; 0; 1; 2
0; 0; 1; 1; 2
0; 0; 0; 1; 2
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; -2; -1
0; 0; 0; 0; -2
0; 0; 0; 0; -2
0; 0; 0; 0; 2
0; 0; 1; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 0; 1; 3
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 0; 0; -2
0; 0; 0; 0; -2
0; 0; -1; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -2; -3
0; 0; 0; 0; 0
0; 0; 0; -2; -1
0; 0; 0; -1; -1
0; 0; 0; 1; 1
0; 0; 0; 0; -2
0; 0; 0; 2; 2
0; 0; 0; 0; 0
0; 0; 0; -1; -1
0; 0; 0; -1; 1
0; 0; 0; 1; 2
0; 0; 0; -1; -3
0; 0; 0; 2; -1
0; 0; 0; 1; -1
0; 0; -1; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; -1
0; 0; -2; -1; -1
0; 0; 0; 0; -1
0; 0; -1; 0; -2
0; 0; 0; -3; 1
0; 0; 0; 1; 1
0; 0; 0; 1; 2
0; 0; 0; 0; 2
0; 0; 0; 0; 0
0; 0; -1; 0; 1
0; 0; 0; 0; 1
0; 0; -1; 2; -2
0; 0; 0; -1; 0
0; 0; 0; 2; -1
0; 0; 1; 0; 0
0; 0; 0; -2; 1
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; -1; 0; -1
0; 0; 0; -2; -1
0; 0; 0; -1; 1
0; 0; 0; 1; -2
0; 0; 0; 1; 0
0; 0; 0; 1; -1
0; 0; 0; 1; 2
0; 0; 0; -2; 1
0; 0; 0; 0; -2
0; 0; 0; 0; 1
0; 0; 0; -2; 1
0; 0; 0; -2; 1
0; 0; -1; -1; 0
0; 0; 0; 1; 1
0; 0; 0; -1; 1
0; 0; -1; 0; -3
0; 0; 0; 1; -1
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; 0; -2; 1
0; 0; 0; 2; 1
0; 0; 0; -1; -1
0; 0; 0; 0; -1
0; 0; 0; 0; -3
0; 0; 0; 2; 3
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 2; -2
0; 0; -1; 2; 2
0; 0; 0; 1; -2
0; 0; 0; 0; 0
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 1; 2
0; 0; 0; -1; 0
0; 0; 0; -1; -1
0; 0; 0; -1; 1
0; 0; 0; 0; -1
0; 0; 0; -1; 1
0; 0; 0; 0; -1
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; 1; -2
0; 0; 0; -1; -1
0; 0; 0; 1; 0
0; 0; 0; -2; 3
0; 0; 0; 1; -1
0; 0; 0; -1; 0
0; 0; -1; 0; 1
0; 0; 0; 0; 0
0; 0; -1; 1; 2
0; 0; 0; -1; 0
0; 0; 0; 0; -1
0; 0; 0; 1; -2
0; 0; 1; 1; 1
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; -1; -1
0; 0; 0; -1; 1
0; 0; 0; 2; 1
0; 0; 0; 0; 0
0; 0; 1; -2; 2
0; 0; 0; -1; 1
0; 0; 0; -1; 1
0; 0; -1; 0; 0
0; 0; -1; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; -2
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; -1; 0; 0
0; 0; 0; 0; -2
0; 0; 0; 1; -1
0; 0; 0; 2; -1
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 0
0; 0; 1; -1; -1
0; 0; 0; 1; 1
0; 0; 0; 2; 0
0; 0; 0; -2; -1
0; 0; 0; 0; 1
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 0; -1; 1
0; 0; 0; 0; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; 0; 0
0; 0; 0; 1; 1
0; 0; 0; 1; 1
0; 0; 0; -1; -2
0; 0; 0; 0; -2
0; 0; 0; 0; 0
0; 0; 0; 1; -1
0; 0; 0; 2; -1
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 1
0; 0; 0; -1; 2
0; 0; -1; 0; -1
0; 0; 0; -1; 0
0; 0; 0; 0; -1
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 1; 2
0; 0; 0; 0; -1
0; 0; 0; 2; 0
0; 0; 0; 1; 0
0; 0; 0; -1; -1
0; 0; 0; 1; -2
0; 0; 0; 0; 1
0; 0; 0; 2; -1
0; 0; 0; -1; 0
0; 0; 1; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; -2; -2
0; 0; 1; 1; -1
0; 0; 0; -1; -1
0; 0; 0; 2; 1
0; 0; 0; 0; 1
0; 0; 0; 1; -1
0; 0; 0; 2; 0
0; 0; 0; -1; 2
0; 0; 0; -1; 2
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; -2; 1
0; 0; 0; 1; 1
0; 0; 0; -1; 1
0; 0; 0; 0; 1
0; 0; 0; -2; 2
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; 0; 0
0; 0; 0; -1; 3
0; 0; 0; 0; -3
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; -1; 0
0; 0; -1; 0; -1
0; 0; 0; 1; 0
0; 0; -1; 2; -1
0; 0; -1; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 0; -1
0; 0; 1; 0; -1
0; 0; 0; 0; 1
0; 0; 0; -1; 2
0; 0; 1; -2; -2
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 1; 1; 0
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; -1; -3; 1
0; 0; 0; 0; -1
0; 0; 0; 0; -2
0; 0; 0; 0; -1
0; 0; 0; -1; 0
0; 0; 1; -1; -1
0; 0; 0; 0; 1
0; 0; 0; 1; 1
0; 0; -1; 0; 2
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; -1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; -2
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; -1; -1
0; 0; 0; -2; -2
0; 0; 0; -2; 2
0; 0; 0; 0; 1
0; 0; 0; -1; -3
0; 0; 0; -1; 0
0; 0; 0; -1; -1
0; 0; 0; 1; -1
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; -1; 1
0; 0; 0; 0; -1
0; 0; 0; 1; -3
0; 0; 0; 2; -2
0; 0; 0; -1; 0
0; 0; 0; 0; 2
0; 0; 0; -2; 0
0; 0; -1; 2; -3
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; 0; 0; 2
0; 0; 0; -1; 1
0; 0; 0; -1; 1
0; 0; 0; 0; -1
0; 0; 1; 2; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 1
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 1; 0; 0; 2
0; 0; 0; -1; 2
0; 0; 0; 0; 1
0; 0; 0; 1; 1
0; 0; 0; 2; -1
0; 0; 1; 1; 1
0; 0; 0; 1; 1
0; 0; 0; -3; -2
0; 0; 0; 0; -1
0; 0; 0; 1; -2
0; 0; 1; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; -3
0; 0; 0; 0; 1
0; 0; 0; -2; 0
0; 0; 1; 0; 0
0; 0; 0; -1; 2
0; 0; 0; -1; 1
0; 0; 0; 0; 1
0; 0; 0; 1; 0
0; 0; 0; 1; -1
0; 0; 0; 0; -2
0; 0; 0; 2; 1
0; 0; 0; 1; 2
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; 1; 3
0; 0; 0; -2; -1
0; 0; 0; 1; -2
0; 0; 0; -2; 0
0; 0; 0; 1; 1
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; -1; 2
0; 0; 0; 2; -2
0; 0; 1; 0; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; 1; 0
0; 0; 0; -1; 0
0; 0; 1; -1; 0
0; 0; 0; 0; 1
0; 0; 1; 0; 0
0; 0; 0; 0; 0
0; 0; 1; 1; 0
0; 0; 0; 1; 0
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; 0; -1
0; 0; 0; 2; 1
0; 0; 0; 1; -1
0; 0; 0; 1; 2
0; 0; 0; 0; 0
0; 0; -1; 0; -1
0; 0; 0; -1; -1
0; 0; 0; 2; 0
0; 0; 0; 1; 0
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; 0; 1
0; 0; 0; -2; 2
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 1; 1
0; 0; 0; 0; -1
0; 0; 0; -2; 1
0; 0; 0; 2; 0
0; 0; 0; 1; -1
0; 0; 0; -1; 1
0; 0; 0; -3; 0
0; 0; 0; 1; 2
0; 0; 0; -1; 0
0; 0; 0; 1; 3
0; 0; -1; 1; 1
0; 0; 0; 0; -1
0; 0; 0; 1; 1
0; 0; 0; 0; 1
0; 0; 0; -1; 0
0; 0; 0; -2; 0
0; 0; 0; 2; -1
0; 0; 0; 0; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 1; -1
0; 0; 0; 2; 2
0; 0; 0; 0; 0
0; 0; 0; -2; 1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; 1; 1
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; 0; -1; -1
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; 1; 2
0; 0; -1; 0; 1
0; 0; 0; 1; 1
0; 0; 0; 1; 1
0; 0; 0; 0; -2
0; 0; -1; 1; -2
0; 0; 0; 0; 0
0; 0; -1; 0; 0
0; 0; 0; -2; 1
0; 0; -1; 2; 0
0; 0; 0; 1; 1
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 2; 0
0; 0; 0; 1; -1
0; 0; 0; 0; -3
0; 0; 0; 0; 1
0; 0; 0; 0; -2
0; 0; 0; -1; 0
0; 0; 0; -1; 1
0; 0; 0; 0; 1
0; 0; 0; 1; -1
0; 0; 0; 0; -2
0; 0; 1; -1; -2
0; 0; 0; 1; 2
0; 0; 0; 0; -1
0; 0; 0; 0; -1
0; 0; 0; -2; -2
0; 0; 0; 0; -1
0; 0; 0; 0; 2
0; 0; 0; 0; 1
0; 0; 1; 1; 2
0; 0; -1; -1; -2
0; 0; 0; 1; -2
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; 0; -3
0; 0; 0; 1; 1
0; 0; 0; 1; 2
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; -3; 0
0; 0; 0; 1; -1
0; 0; 0; -1; 1
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; -1; 1; 1
0; 0; 0; 0; 0
0; 0; -1; 0; 2
0; 0; 0; 0; -1
0; 0; 0; 1; 0
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; -1; 1; 0
0; 0; 0; 1; 1
0; 0; 0; 1; 0
0; 0; 0; -2; 0
0; 0; 0; 0; 0
0; 0; 0; 2; -1
0; 0; 0; 0; 1
0; 0; 0; -1; 0
0; 0; 0; 0; 0
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; 1; -1
0; 0; -1; 2; -2
0; 0; -1; 1; -1
0; 0; 0; -2; 1
0; 0; 0; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; -3; 0
0; 0; 0; -1; 0
0; 0; -1; 0; -2
0; 0; 0; 1; 0
0; 0; 0; 0; 0
0; 0; 0; -1; 0
0; 0; 0; 1; 2
0; 0; 0; -1; -2
0; 0; 0; 0; 0
0; 0; 1; 2; 2
0; 0; -1; 0; -2
0; 0; 0; 0; 0
0; 0; 1; 0; 2
0; 0; 0; -2; -1
0; 0; 0; 2; 0
0; 0; 0; 1; 0
0; 0; 0; 2; 0
0; 0; 0; -2; -1
0; 0; 0; 1; 1
0; 0; 0; 0; 1
0; 0; 1; 1; -1
0; 0; 0; 1; -1
0; 0; 0; 1; 0
0; 0; 0; -2; -1
0; 0; 0; -1; -2
0; 0; 0; 1; 0
0; 0; 0; 1; -1
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; 0; 1; 0
0; 0; 0; -1; -1
0; 0; 0; 3; -1
0; 0; 0; 0; 0
0; 0; 0; -2; 3
0; 0; -1; 0; 0
0; 0; -1; -1; 2
0; 0; 0; 0; 0
0; 0; 0; 0; 0
0; 0; 0; 1; 2
0; 0; 0; 0; -2
0; 0; 0; -2; 0
0; 0; 0; -1; 1
0; 0; 0; 1; -1
0; 0; 0; 0; 0
0; 0; 0; 0; 1
0; 0; 0; -1; 0
0; 0; 0; -1; 0
0; 0; 0; 0; 1
0; 0; 0; -1; 1
0; 0; 0; 0; 3
0; 0; 0; 0; 1
0; 0; 0; 0; 2
0; 0; 0; 1; -1
0; 0; 0; 1; 0
0; 0; 1; 0; -1
0; 0; 0; 0; 0
0; 0; 0; 0; -1
